Unnamed: 0,Unnamed: 0.1,B_110_elel,B_110_elmu,B_110_mumu,B_90_elel,B_90_elmu,B_90_mumu,MA0,MH0,MHC,Mh,Mtr01,Mtr02,Mtr03,O_110_elel,O_110_elmu,O_110_mumu,O_90_elel,O_90_elmu,O_90_mumu,SR,S_110_elel,S_110_elmu,S_110_mumu,S_90_elel,S_90_elmu,S_90_mumu,U_e1_i,U_e1_r,U_e2_i,U_e2_r,U_e3_i,U_e3_r,U_mu1_i,U_mu1_r,U_mu2_i,U_mu2_r,U_mu3_i,U_mu3_r,U_tau1_i,U_tau1_r,U_tau2_i,U_tau2_r,U_tau3_i,U_tau3_r,Unnamed: 0.1,Unnamed: 0.1.1,Y1e,Y1mu,Y1tau,Y2e,Y2mu,Y2tau,Y3e,Y3mu,Y3tau,Yukawa_max,dB_110_elel,dB_110_elmu,dB_110_mumu,dB_90_elel,dB_90_elmu,dB_90_mumu,dS_110_stat_elel,dS_110_stat_elmu,dS_110_stat_mumu,dS_110_sys_elel,dS_110_sys_elmu,dS_110_sys_mumu,dS_110_tot_elel,dS_110_tot_elmu,dS_110_tot_mumu,dS_90_stat_elel,dS_90_stat_elmu,dS_90_stat_mumu,dS_90_sys_elel,dS_90_sys_elmu,dS_90_sys_mumu,dS_90_tot_elel,dS_90_tot_elmu,dS_90_tot_mumu,index,la2,laL,level_0,m_nu_1,m_nu_2,m_nu_3,mu_to_e_gamma,r_exp,r_max,r_obs,tau_to_mu_gamma,theta_1_i,theta_1_r,theta_2_i,theta_2_r,theta_3_i,theta_3_r,xsection1,xsection2,xsection_process,xsectionerror1,xsectionerror2,xsectionerror_process,y1e,y1mu,y1tau,y2e,y2mu,y2tau,y3e,y3mu,y3tau,CLdb,CLdbs
13,80476.0,6.1,4.4,6.3,16.6,20.7,22.4,700.0,70.0,700.0,125.09,450.0,1500.0,2500.0,4.0,5.0,4.0,15.0,19.0,19.0, atlas_conf_2013_049 - SR_mT2_110_mumu,0.136,1.482,5.113,0.177,1.781,5.65,0.0,0.790492617873,0.109866188415,0.581858044572,0.0317566288153,0.153243512828,-0.0667806877262,-0.494156000383,0.0531854859108,0.551284387571,0.598634310328,0.293673249785,-0.0729742220268,0.348060872606,-0.161844830721,-0.562524413237,0.65415428565,0.320909796871,80476.0,80476.0,0.0709828833737,0.54055413905,0.838309401727,0.475100523225,0.755156157647,0.451684259632,0.30876701105,0.740703728756,0.596674885591,2.22222350865e-06,2.2,2.0,2.4,2.3,3.2,3.3,0.03,0.1,0.186,0.0,0.0,0.0,0.03,0.1,0.186,0.035,0.11,0.196,0.0,0.0,0.0,0.035,0.11,0.196,80476.0,0.01,0.001,0.0,8.21588676374e-15,9.03760691436e-12,4.85009672766e-11,9.19565980556e-33,0.0,0.83524,0.0,2.76765225106e-30,0.0,5.00146394419,0.0,3.94653397505,0.0,2.51809294416,2.27e-23,0.0,0.0100479268724,1.915e-26,0.0,1.915e-26,1.88164216958e-07,1.43292215621e-06,2.22222350865e-06,8.18602051413e-07,1.3011401789e-06,7.78255639492e-07,6.91853052346e-07,1.65969199197e-06,1.33696711786e-06,0.942063570472,0.018214630485
15,143683.0,6.1,4.4,6.3,16.6,20.7,22.4,700.0,70.0,700.0,125.09,450.0,1500.0,2500.0,4.0,5.0,4.0,15.0,19.0,19.0, atlas_conf_2013_049 - SR_mT2_110_mumu,0.136,1.38,5.378,0.197,1.673,5.868,0.0,0.804386239275,0.304312890438,0.487787297843,0.0144967048153,0.149029662789,-0.0240973937433,-0.496875624953,0.261773212067,0.452139507161,0.25898587093,0.642265442873,-0.0245558785993,0.323872993368,-0.348056672871,-0.524746053587,0.263913420399,0.654485394216,143683.0,143683.0,0.0705869428782,0.552712376815,0.830377331103,0.60490313163,0.40813717845,0.683751595911,0.394383610814,0.898304713171,0.193675527149,2.41946160238e-06,2.2,2.0,2.4,2.3,3.2,3.3,0.03,0.097,0.191,0.0,0.0,0.0,0.03,0.097,0.191,0.037,0.107,0.2,0.0,0.0,0.0,0.037,0.107,0.2,143683.0,0.01,0.001,0.0,1.85084907635e-12,8.69590222846e-12,4.85491191409e-11,2.43569650755e-32,0.0,0.88024,0.0,4.14009795084e-30,0.0,4.34622751825,0.0,4.10450540844,0.0,5.73322601151,3.314e-23,0.0,0.0100479268724,2.748e-26,0.0,2.748e-26,2.05668425095e-07,1.61043217676e-06,2.41946160238e-06,7.54521910383e-07,5.09087203356e-07,8.52873019493e-07,9.09396423751e-07,2.07137180957e-06,4.46590139468e-07,0.950733086959,0.0150378896995
16,56819.0,6.1,4.4,6.3,16.6,20.7,22.4,700.0,70.0,700.0,125.09,450.0,1500.0,2500.0,4.0,5.0,4.0,15.0,19.0,19.0, atlas_conf_2013_049 - SR_mT2_110_mumu,0.102,1.55,5.412,0.122,1.822,5.915,0.0,0.814022575656,0.551658456605,0.105358400596,0.123205224091,0.0822208839554,0.0400614517224,-0.486698920245,0.543864619647,0.0757301979309,0.314783309741,0.600755292648,0.0425149754675,0.311574973805,-0.601735762967,-0.144785492588,0.334061900302,0.637547952728,56819.0,56819.0,0.0702084642355,0.5630740538,0.823418715774,0.483381493927,0.799517683567,0.356530230123,0.365020655273,0.761376531167,0.535785123917,2.29167467669e-06,2.2,2.0,2.4,2.3,3.2,3.3,0.026,0.103,0.192,0.0,0.0,0.0,0.026,0.103,0.192,0.029,0.111,0.201,0.0,0.0,0.0,0.029,0.111,0.201,56819.0,0.01,0.001,0.0,8.21237184257e-14,8.64841574179e-12,4.85727649687e-11,2.39156051977e-32,0.0,0.88602,0.0,3.45877910102e-30,0.0,4.45469365566,0.0,4.0224579763,0.0,3.42625396983,2.76e-23,0.0,0.0100479268724,2.092e-26,0.0,2.092e-26,1.95398715739e-07,1.56710374136e-06,2.29167467669e-06,4.50930738971e-07,7.45843819843e-07,3.32595356163e-07,9.31108235678e-07,1.94214751516e-06,1.36670058044e-06,0.952396184945,0.0149959371538
38,91633.0,6.1,4.4,6.3,16.6,20.7,22.4,700.0,70.0,700.0,125.09,450.0,1500.0,2500.0,4.0,5.0,4.0,15.0,19.0,19.0, atlas_conf_2013_049 - SR_mT2_110_mumu,0.177,1.666,5.031,0.245,1.938,5.555,0.0,0.795672012289,0.536822526441,0.230249467431,0.156998804264,-0.0326218051691,0.0697702854214,-0.499627657705,0.560908935601,0.184848220661,0.437310793179,0.453294476449,0.0841846359868,0.324535524792,-0.484187931514,-0.274920181344,0.527658009631,0.546943878245,91633.0,91633.0,0.0999293542038,0.545184401585,0.832338928825,0.576376043171,0.798086176021,0.175639154242,0.506844179279,0.837645060105,0.203616628034,2.7242230192e-06,2.2,2.0,2.4,2.3,3.2,3.3,0.035,0.106,0.185,0.0,0.0,0.0,0.035,0.106,0.185,0.041,0.115,0.194,0.0,0.0,0.0,0.041,0.115,0.194,91633.0,0.01,0.001,0.0,1.3559279881e-16,8.59952041772e-12,4.96919837845e-11,9.52368998885e-32,0.0,0.8214,0.0,6.25312834271e-30,0.0,1.33910993207,0.0,5.07386234685,0.0,0.335477050612,5.276e-23,0.0,0.0100479268724,4.437e-26,0.0,4.437e-26,3.27066099624e-07,1.7843739432e-06,2.7242230192e-06,5.02566462789e-07,6.95884832889e-07,1.53147150234e-07,9.12580964537e-07,1.5081931847e-06,3.66614960581e-07,0.94058011614,0.0192102013356
39,37891.0,6.1,4.4,6.3,16.6,20.7,22.4,700.0,70.0,700.0,125.09,450.0,1500.0,2500.0,4.0,5.0,4.0,15.0,19.0,19.0, atlas_conf_2013_049 - SR_mT2_110_mumu,0.17,1.523,5.249,0.238,1.87,5.772,0.0,0.814427427382,0.316167241915,0.464050104941,0.0410802404701,0.140414225114,-0.000539472203794,-0.448688838874,0.252808502169,0.371716775643,0.221132670259,0.740062752015,-0.000431682023668,0.367948113215,-0.391402166382,-0.573946530028,0.176948873223,0.592193229206,37891.0,37891.0,0.099670851718,0.547065256493,0.831134962841,0.303308846433,0.865895704945,0.397779300408,0.575871503392,0.668985730931,0.469925636024,2.36613097995e-06,2.2,2.0,2.4,2.3,3.2,3.3,0.034,0.102,0.189,0.0,0.0,0.0,0.034,0.102,0.189,0.04,0.113,0.198,0.0,0.0,0.0,0.04,0.113,0.198,37891.0,0.01,0.001,0.0,2.36074592842e-18,8.51151599454e-12,4.81295783906e-11,1.30899868194e-32,0.0,0.85831,0.0,2.3501766607e-30,0.0,1.1124182012,0.0,2.41340164476,0.0,1.47429072865,1.683e-23,0.0,0.0100479268724,1.394e-26,0.0,1.394e-26,2.45161755939e-07,1.34562388686e-06,2.04435402528e-06,8.28816281153e-07,2.36613097995e-06,1.08696453915e-06,4.84005391359e-07,5.62265537721e-07,3.94960577201e-07,0.947467133181,0.0164733890196
40,49625.0,6.1,4.4,6.3,16.6,20.7,22.4,700.0,70.0,700.0,125.09,450.0,1500.0,2500.0,4.0,5.0,4.0,15.0,19.0,19.0, atlas_conf_2013_049 - SR_mT2_110_mumu,0.17,1.503,5.337,0.218,1.795,5.915,0.0,0.810032327392,0.457551453237,0.339261438452,0.122259799282,-0.0666971819486,0.0850388893833,-0.388604582094,0.465955203805,0.271049338375,0.414685012485,0.61579965143,0.0750620530683,0.424226570169,-0.465153459331,-0.410607607706,0.366033806879,0.543553501819,49625.0,49625.0,0.100251263528,0.552044447267,0.827766037237,0.202780491886,0.812780807253,0.546138655903,0.544001769574,0.824210554778,0.157286477778,2.06712028803e-06,2.2,2.0,2.4,2.3,3.2,3.3,0.034,0.101,0.19,0.0,0.0,0.0,0.034,0.101,0.19,0.038,0.11,0.201,0.0,0.0,0.0,0.038,0.11,0.201,49625.0,0.01,0.001,0.0,5.05500138587e-13,8.67425100994e-12,5.09230347807e-11,3.63328291159e-32,0.0,0.87332,0.0,2.56912514313e-30,0.0,2.40248962324,0.0,5.5334536917,0.0,1.21697862259,1.788e-23,0.0,0.0100479268724,1.474e-26,0.0,1.474e-26,2.50350233541e-07,1.3785806925e-06,2.06712028803e-06,5.08173966155e-07,2.03685296646e-06,1.36863977526e-06,9.26213934548e-07,1.40329562059e-06,2.6779495138e-07,0.950285267244,0.0154846861694
41,104726.0,6.1,4.4,6.3,16.6,20.7,22.4,700.0,70.0,700.0,125.09,450.0,1500.0,2500.0,4.0,5.0,4.0,15.0,19.0,19.0, atlas_conf_2013_049 - SR_mT2_110_mumu,0.17,1.489,5.473,0.211,1.761,6.058,0.0,0.813374265409,0.506229751154,0.246868626046,0.116727474894,0.0870880100607,0.013135948802,-0.439118043392,0.392745598449,0.181406958144,0.560095593819,0.553297503191,0.00999617578463,0.381215387487,-0.629713020348,-0.314787615641,0.426220754695,0.42104755328,104726.0,104726.0,0.0999560420079,0.559200387853,0.822984638916,0.343515185926,0.892206702604,0.293197061492,0.39180137608,0.847012878114,0.359250422423,2.21258604226e-06,2.2,2.0,2.4,2.3,3.2,3.3,0.034,0.101,0.193,0.0,0.0,0.0,0.034,0.101,0.193,0.038,0.109,0.203,0.0,0.0,0.0,0.038,0.109,0.203,104726.0,0.01,0.001,0.0,8.26365441502e-14,9.01238164072e-12,4.86111045995e-11,1.28373442883e-32,0.0,0.89641,0.0,2.85032601257e-30,0.0,1.54918425465,0.0,5.51068641593,0.0,1.12583905939,2.135e-23,0.0,0.0100479268724,1.742e-26,0.0,1.742e-26,2.60901370281e-07,1.45960308673e-06,2.14812247164e-06,8.51884326207e-07,2.21258604226e-06,7.27100260507e-07,4.98095850657e-07,1.07680479396e-06,4.5671392619e-07,0.954464951182,0.0140696432915
42,6688.0,6.1,4.4,6.3,16.6,20.7,22.4,700.0,70.0,700.0,125.09,450.0,1500.0,2500.0,4.0,5.0,4.0,15.0,19.0,19.0, atlas_conf_2013_049 - SR_mT2_110_mumu,0.15,1.564,5.65,0.231,1.829,6.242,0.0,0.786558401496,0.438267451316,0.406698506343,0.102093115965,-0.115848361077,0.0896418528939,-0.410694206663,0.388105937441,0.267190458402,0.730094365849,0.261227609646,0.0707813049953,0.446777903127,-0.437093209244,-0.479009950576,0.576483309037,0.206265606016,6688.0,6688.0,0.0998229998824,0.563748310266,0.819892194966,0.193778314478,0.757278072948,0.623682519452,0.586374391046,0.713551189871,0.383418534971,2.54169383172e-06,2.2,2.0,2.4,2.3,3.2,3.3,0.032,0.103,0.196,0.0,0.0,0.0,0.032,0.103,0.196,0.04,0.112,0.206,0.0,0.0,0.0,0.04,0.112,0.206,6688.0,0.01,0.001,0.0,1.11912645104e-12,8.92538449105e-12,4.98318609411e-11,1.60223698457e-33,0.0,0.92644,0.0,3.28731051374e-31,0.0,2.89234847964,0.0,5.97155372311,0.0,1.39543783721,1.002e-24,0.0,0.0100479268724,7.682e-28,0.0,7.682e-28,1.2125728202e-07,6.84797971679e-07,9.95941809286e-07,6.50388759725e-07,2.54169383172e-06,2.09329976567e-06,1.0028074629e-06,1.2203030509e-06,6.55715826191e-07,0.959738361599,0.0125318034091
65,138856.0,6.1,4.4,6.3,16.6,20.7,22.4,700.0,70.0,700.0,125.09,450.0,1500.0,2500.0,4.0,5.0,4.0,15.0,19.0,19.0, atlas_conf_2013_049 - SR_mT2_110_mumu,0.218,1.734,5.12,0.286,2.013,5.691,0.0,0.81433699926,0.129888021543,0.546347075592,0.12128938133,0.0823292928677,0.0170067385863,-0.483681361203,0.13206437925,0.504795086225,0.491392219342,0.502033583631,0.016859689452,0.319897036834,-0.137192118409,-0.627338200777,0.487143385854,0.497692739356,138856.0,138856.0,0.122593243638,0.537642051112,0.834213354898,0.356790973761,0.837541972741,0.413791789358,0.110800385815,0.4540837549,0.884042543116,2.25410318971e-06,2.2,2.0,2.4,2.3,3.2,3.3,0.038,0.109,0.187,0.0,0.0,0.0,0.038,0.109,0.187,0.044,0.117,0.197,0.0,0.0,0.0,0.044,0.117,0.197,138856.0,0.01,0.001,0.0,1.75429185342e-14,8.51128584915e-12,5.14773503894e-11,6.45380104874e-32,0.0,0.83639,0.0,3.1518919983e-30,0.0,1.01420890191,0.0,2.32269028675,0.0,1.93977517948,2.451e-23,0.0,0.0100479268724,2.174e-26,0.0,2.174e-26,3.31255571371e-07,1.45274665674e-06,2.25410318971e-06,9.19413170759e-07,2.158258413e-06,1.06629833451e-06,1.17487343456e-07,4.81488342095e-07,9.37395742158e-07,0.944765243983,0.0178971367814
66,85398.0,6.1,4.4,6.3,16.6,20.7,22.4,700.0,70.0,700.0,125.09,450.0,1500.0,2500.0,4.0,5.0,4.0,15.0,19.0,19.0, atlas_conf_2013_049 - SR_mT2_110_mumu,0.218,1.686,5.14,0.299,1.999,5.704,0.0,0.807212251641,0.152310197676,0.551224835043,0.140564067992,0.0400363398197,0.0429773160443,-0.509344029891,0.185722395014,0.557823855039,0.398337065639,0.484137305315,0.0524567410288,0.290479397965,-0.1162240999,-0.560164692084,0.486197515752,0.590922551355,85398.0,85398.0,0.122596674875,0.543865765072,0.830168708692,0.559395673972,0.798538880941,0.222288406281,0.329716512842,0.86680574696,0.374078625688,2.7700481925e-06,2.2,2.0,2.4,2.3,3.2,3.3,0.038,0.107,0.187,0.0,0.0,0.0,0.038,0.107,0.187,0.045,0.117,0.197,0.0,0.0,0.0,0.045,0.117,0.197,85398.0,0.01,0.001,0.0,5.58517283719e-14,8.89733846812e-12,5.14630829248e-11,1.65535598269e-31,0.0,0.83985,0.0,6.67369788613e-30,0.0,1.97773536565,0.0,5.06412169749,0.0,2.46084236456,5.7e-23,0.0,0.0100479268724,4.773e-26,0.0,4.773e-26,4.09071908022e-07,1.81473279314e-06,2.7700481925e-06,8.42880200848e-07,1.20321383176e-06,3.34937335503e-07,4.15602671696e-07,1.09259551841e-06,4.71520443184e-07,0.945242116252,0.0175846899086
