Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1,B_110_elel,B_110_elmu,B_110_mumu,B_90_elel,B_90_elmu,B_90_mumu,MA0,MH0,MHC,Mh,Mtr01,Mtr02,Mtr03,O_110_elel,O_110_elmu,O_110_mumu,O_90_elel,O_90_elmu,O_90_mumu,SR,S_110_elel,S_110_elmu,S_110_mumu,S_90_elel,S_90_elmu,S_90_mumu,U_e1_i,U_e1_r,U_e2_i,U_e2_r,U_e3_i,U_e3_r,U_mu1_i,U_mu1_r,U_mu2_i,U_mu2_r,U_mu3_i,U_mu3_r,U_tau1_i,U_tau1_r,U_tau2_i,U_tau2_r,U_tau3_i,U_tau3_r,Unnamed: 0.1.1,Unnamed: 0.1.1,Y1e,Y1mu,Y1tau,Y2e,Y2mu,Y2tau,Y3e,Y3mu,Y3tau,Yukawa_max,dB_110_elel,dB_110_elmu,dB_110_mumu,dB_90_elel,dB_90_elmu,dB_90_mumu,dS_110_stat_elel,dS_110_stat_elmu,dS_110_stat_mumu,dS_110_sys_elel,dS_110_sys_elmu,dS_110_sys_mumu,dS_110_tot_elel,dS_110_tot_elmu,dS_110_tot_mumu,dS_90_stat_elel,dS_90_stat_elmu,dS_90_stat_mumu,dS_90_sys_elel,dS_90_sys_elmu,dS_90_sys_mumu,dS_90_tot_elel,dS_90_tot_elmu,dS_90_tot_mumu,index,la2,laL,level_0,m_nu_1,m_nu_2,m_nu_3,mu_to_e_gamma,r_exp,r_max,r_obs,tau_to_mu_gamma,theta_1_i,theta_1_r,theta_2_i,theta_2_r,theta_3_i,theta_3_r,xsection1,xsection2,xsection_process,xsectionerror1,xsectionerror2,xsectionerror_process,y1e,y1mu,y1tau,y2e,y2mu,y2tau,y3e,y3mu,y3tau,CLdb450,CL450
0,140833.0,140833.0,6.1,4.4,6.3,16.6,20.7,22.4,700.0,70.0,700.0,125.09,450.0,1500.0,2500.0,4.0,5.0,4.0,15.0,19.0,19.0, atlas_conf_2013_049 - SR_mT2_110_elel,3.508,1.455,0.177,3.848,1.761,0.252,0.0,0.814915635081,0.494837412808,0.266109560036,-0.0712779483374,0.123099954201,-0.086036418109,-0.392731720242,0.436170343557,0.30191229695,0.545231542531,0.5095944388,-0.074961327183,0.41067363904,-0.581675110885,-0.254126147163,0.475046276315,0.443996580717,140833.0,140833.0,0.458870069355,0.069113047549,0.885811292606,0.144923040568,0.721987815634,0.676558132305,0.214294741021,0.870313904604,0.4434314732,2.24198778216e-06,2.2,2.0,2.4,2.3,3.2,3.3,0.154,0.099,0.035,0.0,0.0,0.0,0.154,0.099,0.035,0.162,0.109,0.041,0.0,0.0,0.0,0.162,0.109,0.041,140833.0,0.01,0.001,0.0,5.53755722004e-18,9.02913470853e-12,4.92814494859e-11,7.21706267638e-33,0.0,0.58486,0.0,5.15097677916e-32,0.0,1.98619086255,0.0,2.85368871231,0.0,2.30049922242,3.183e-24,0.0,0.0100479268724,2.42e-27,0.0,2.42e-27,7.44105572195e-07,1.12073999215e-07,1.43643519759e-06,3.68372291057e-07,1.83518303728e-06,1.71970770317e-06,5.52037820616e-07,2.24198778216e-06,1.14230961941e-06,0.849218882834,0.903554445527
1,112841.0,112841.0,6.1,4.4,6.3,16.6,20.7,22.4,700.0,70.0,700.0,125.09,450.0,1500.0,2500.0,4.0,5.0,4.0,15.0,19.0,19.0, atlas_conf_2013_049 - SR_mT2_110_mumu,0.15,1.265,3.223,0.19,1.503,3.556,0.0,0.828346777367,0.226829715112,0.486164259644,0.0388226573492,0.156611017139,-0.00637205954494,-0.500400647645,0.24139403,0.527140410054,0.199371025353,0.611278736185,-0.00741990428209,0.251684624362,-0.263626590435,-0.55366553457,0.232156324703,0.711799643457,112841.0,112841.0,0.0680639308077,0.459784753304,0.885418139611,0.404870431679,0.850765407454,0.335079326476,0.118529784341,0.439634481575,0.890321409848,2.00001295944e-06,2.2,2.0,2.4,2.3,3.2,3.3,0.032,0.093,0.148,0.0,0.0,0.0,0.032,0.093,0.148,0.036,0.101,0.155,0.0,0.0,0.0,0.036,0.101,0.155,112841.0,0.01,0.001,0.0,2.2780407799e-13,8.44246838186e-12,4.81390889373e-11,9.63360551382e-34,0.0,0.51595,0.0,1.27256053746e-30,0.0,3.81226949341,0.0,0.664541159682,0.0,5.4622535997,1.112e-23,0.0,0.0100479268724,8.388e-27,0.0,8.388e-27,1.50897177851e-07,1.01933903713e-06,1.96296477297e-06,9.51785419525e-07,2.00001295944e-06,7.87717729847e-07,2.49666127144e-07,9.26027487389e-07,1.87533538128e-06,0.824767578939,0.881092979713
2,106827.0,106827.0,6.1,4.4,6.3,16.6,20.7,22.4,700.0,70.0,700.0,125.09,450.0,1500.0,2500.0,4.0,5.0,4.0,15.0,19.0,19.0, atlas_conf_2013_049 - SR_mT2_110_mumu,0.17,1.19,3.121,0.224,1.394,3.556,0.0,0.828592215113,0.244847936232,0.481625728583,0.008309472148,0.146465147446,-0.0573134708458,-0.476814596384,0.246938074802,0.568202961469,0.484152026357,0.388750310482,-0.0710781752562,0.278829411632,-0.298512918165,-0.484915626856,0.600428521816,0.482114628404,106827.0,106827.0,0.0714682179088,0.461510620707,0.884251231723,0.151842602747,0.24677427684,0.957103066697,0.351956337315,0.784881468322,0.509988056044,2.27387363401e-06,2.2,2.0,2.4,2.3,3.2,3.3,0.034,0.09,0.146,0.0,0.0,0.0,0.034,0.09,0.146,0.039,0.097,0.155,0.0,0.0,0.0,0.039,0.097,0.155,106827.0,0.01,0.001,0.0,2.11452324207e-13,8.56399352372e-12,5.13740980481e-11,6.76237399384e-33,0.0,0.49882,0.0,1.8167735027e-30,0.0,3.87146511667,0.0,0.745411385176,0.0,0.384149792507,1.769e-23,0.0,0.0100479268724,1.347e-26,0.0,1.347e-26,1.77958848643e-07,1.14918072817e-06,2.20182251234e-06,1.93846116542e-07,3.15038298623e-07,1.2218620417e-06,1.01964980452e-06,2.27387363401e-06,1.47748219457e-06,0.813412073609,0.871636645462
3,62311.0,62311.0,6.1,4.4,6.3,16.6,20.7,22.4,700.0,70.0,700.0,125.09,450.0,1500.0,2500.0,4.0,5.0,4.0,15.0,19.0,19.0, atlas_conf_2013_049 - SR_mT2_110_mumu,0.156,1.339,3.094,0.224,1.557,3.447,0.0,0.783194915328,0.543029994439,0.2696470892,0.0990543496539,0.0959313965515,-0.0205120822514,-0.525711080094,0.471998162403,0.252104379103,0.585160400726,0.307336195226,-0.0228918416432,0.330588570491,-0.534536369857,-0.245643763305,0.653049215827,0.342992555611,62311.0,62311.0,0.0713475366905,0.467965593647,0.880861925713,0.569531813452,0.739558322444,0.358729704889,0.396172567294,0.827437033539,0.397989010465,2.48732972519e-06,2.2,2.0,2.4,2.3,3.2,3.3,0.033,0.095,0.145,0.0,0.0,0.0,0.033,0.095,0.145,0.039,0.103,0.153,0.0,0.0,0.0,0.039,0.103,0.153,62311.0,0.01,0.001,0.0,3.27043654997e-14,8.97273493708e-12,4.85521488262e-11,1.18577917243e-32,0.0,0.49425,0.0,2.93905708203e-30,0.0,1.24867814806,0.0,2.23633128752,0.0,6.20209653339,2.926e-23,0.0,0.0100479268724,2.242e-26,0.0,2.242e-26,2.01467271599e-07,1.32141564696e-06,2.48732972519e-06,3.43219088572e-07,4.45682800117e-07,2.16182624829e-07,1.04008286586e-06,2.1722934706e-06,1.04485162467e-06,0.813526700194,0.873210559903
4,84547.0,84547.0,6.1,4.4,6.3,16.6,20.7,22.4,700.0,70.0,700.0,125.09,450.0,1500.0,2500.0,4.0,5.0,4.0,15.0,19.0,19.0, atlas_conf_2013_049 - SR_mT2_110_mumu,0.17,1.414,3.338,0.258,1.741,3.774,0.0,0.797530791988,0.442514257124,0.385457710253,-0.00355787933005,-0.13976932129,0.0505841736484,-0.400683070869,0.517422835006,0.401345112052,0.456300263707,0.447079521207,0.0599062324086,0.444128581882,-0.328607510176,-0.344697404908,0.54039094986,0.529470934697,84547.0,84547.0,0.071936061714,0.474696898507,0.877204683967,0.502020756401,0.758562745557,0.415400675487,0.86175401957,0.4501898965,0.233899693979,7.37483362302e-06,2.2,2.0,2.4,2.3,3.2,3.3,0.034,0.098,0.151,0.0,0.0,0.0,0.034,0.098,0.151,0.042,0.109,0.16,0.0,0.0,0.0,0.042,0.109,0.16,84547.0,0.01,0.001,0.0,2.44515087773e-10,2.44665367457e-10,2.4967342994e-10,2.13735238764e-30,0.0,0.53538,0.0,1.38708371656e-28,0.0,5.67715167449,0.0,1.30940122051,0.0,4.68167188336,1.658e-21,0.0,0.0100479268724,1.235e-24,0.0,1.235e-24,5.57337956435e-07,3.67780210699e-06,6.79630569548e-06,3.97621283497e-06,6.008131908e-06,3.29014582856e-06,7.37483362302e-06,3.85269521239e-06,2.00169803494e-06,0.840405026135,0.894232065121
5,132950.0,132950.0,6.1,4.4,6.3,16.6,20.7,22.4,700.0,70.0,700.0,125.09,450.0,1500.0,2500.0,4.0,5.0,4.0,15.0,19.0,19.0, atlas_conf_2013_049 - SR_mT2_110_mumu,0.143,1.353,3.529,0.231,1.605,3.95,0.0,0.820737521354,0.310564435009,0.453032585802,0.0342367535308,0.15339156971,-0.0119287206498,-0.491933933309,0.299780369479,0.451420219849,0.235139729059,0.639468164874,-0.0125165498313,0.289986151229,-0.366559752447,-0.519900635681,0.246727056697,0.670980181879,132950.0,132950.0,0.0691164985982,0.479331958382,0.874907871318,0.434444368937,0.230113644646,0.870807556724,0.253589474385,0.76645303947,0.590120425649,2.55547916512e-06,2.2,2.0,2.4,2.3,3.2,3.3,0.031,0.096,0.155,0.0,0.0,0.0,0.031,0.096,0.155,0.04,0.104,0.164,0.0,0.0,0.0,0.04,0.104,0.164,132950.0,0.01,0.001,0.0,1.78709897158e-15,8.71501560118e-12,4.87389760112e-11,2.86769177664e-33,0.0,0.56741,0.0,5.16576881723e-31,0.0,0.471539425098,0.0,5.7730708538,0.0,2.95595649531,4.5e-24,0.0,0.0100479268724,3.636e-27,0.0,3.636e-27,1.22231110831e-07,8.47688741735e-07,1.54725663416e-06,5.95533464439e-07,3.15438260476e-07,1.19369723305e-06,8.45508576407e-07,2.55547916512e-06,1.96755753451e-06,0.855103271715,0.904454550764
6,148324.0,148324.0,6.1,4.4,6.3,16.6,20.7,22.4,700.0,70.0,700.0,125.09,450.0,1500.0,2500.0,4.0,5.0,4.0,15.0,19.0,19.0, atlas_conf_2013_049 - SR_mT2_110_mumu,0.19,1.394,3.855,0.258,1.652,4.27,0.0,0.793538718116,0.576065452212,0.133504229043,0.106670891093,0.0961396871245,-0.0171647966617,-0.528377952078,0.540629454617,0.138421819989,0.561060380613,0.30707092238,-0.0202667663233,0.300678683227,-0.570326383793,-0.116671436509,0.662453500107,0.362563842218,148324.0,148324.0,0.0716822998351,0.486560388548,0.870701232448,0.319276140333,0.779029849435,0.539606560286,0.466427974106,0.841633735114,0.272208745063,2.6436875215e-06,2.2,2.0,2.4,2.3,3.2,3.3,0.036,0.097,0.162,0.0,0.0,0.0,0.036,0.097,0.162,0.042,0.106,0.17,0.0,0.0,0.0,0.042,0.106,0.17,148324.0,0.01,0.001,0.0,3.61387255436e-16,8.95600979109e-12,5.00425178565e-11,2.82678130933e-32,0.0,0.62241,0.0,4.18185530131e-30,0.0,4.45582234474,0.0,1.01095238351,0.0,3.71600514083,3.908e-23,0.0,0.0100479268724,3.567e-26,0.0,3.567e-26,2.17647103879e-07,1.47733066145e-06,2.6436875215e-06,3.4844748415e-07,8.50207569004e-07,5.88908861673e-07,1.02266914691e-06,1.84532854305e-06,5.9683273849e-07,0.882359189805,0.924523974687
7,42722.0,42722.0,6.1,4.4,6.3,16.6,20.7,22.4,700.0,70.0,700.0,125.09,450.0,1500.0,2500.0,4.0,5.0,4.0,15.0,19.0,19.0, atlas_conf_2013_049 - SR_mT2_110_mumu,0.15,1.353,3.672,0.211,1.598,4.107,0.0,0.835982924525,0.506247548725,0.149247887521,0.114038777675,0.0978069249546,-0.0346781691005,-0.458084175825,0.512036330177,0.173779813151,0.669810110525,0.218929443897,-0.0341247693501,0.298201882062,-0.634042586298,-0.164462334172,0.659121174008,0.215435732932,42722.0,42722.0,0.0701219428786,0.493502656409,0.866912937523,0.12511701265,0.675092221706,0.727046233287,0.543683267599,0.74439954009,0.387656844704,2.50779495267e-06,2.2,2.0,2.4,2.3,3.2,3.3,0.032,0.096,0.158,0.0,0.0,0.0,0.032,0.096,0.158,0.038,0.104,0.167,0.0,0.0,0.0,0.038,0.104,0.167,42722.0,0.01,0.001,0.0,2.44425505304e-18,8.86708955846e-12,4.90385998793e-11,3.93094222316e-33,0.0,0.59146,0.0,1.46199008409e-31,0.0,3.2915199533,0.0,0.184824151434,0.0,4.5619598458,9.097e-26,0.0,0.0100479268724,8.484e-29,0.0,8.484e-29,4.6763553863e-08,3.29111503577e-07,5.78134720519e-07,4.31565144622e-07,2.32859038211e-06,2.50779495267e-06,9.22234059152e-07,1.26270321417e-06,6.57570991707e-07,0.866098282055,0.912538879627
8,6127.0,6127.0,6.1,4.4,6.3,16.6,20.7,22.4,700.0,70.0,700.0,125.09,450.0,1500.0,2500.0,4.0,5.0,4.0,15.0,19.0,19.0, atlas_conf_2013_049 - SR_mT2_110_mumu,0.231,1.333,4.249,0.292,1.598,4.766,0.0,0.815323382129,0.486488912231,0.272112831311,0.156471904216,0.00688992433992,0.063211311359,-0.474836745837,0.512689425112,0.237250554242,0.445470505184,0.502943487701,0.0681101379221,0.318030166155,-0.506688665108,-0.336766194643,0.479994116496,0.541921209636,6127.0,6127.0,0.0707971516721,0.505436989933,0.859954192107,0.364755864068,0.831560433559,0.418879940993,0.317890150791,0.182353046548,0.930426363795,2.27829928675e-06,2.2,2.0,2.4,2.3,3.2,3.3,0.04,0.095,0.17,0.0,0.0,0.0,0.04,0.095,0.17,0.045,0.104,0.18,0.0,0.0,0.0,0.045,0.104,0.18,6127.0,0.01,0.001,0.0,3.63467895899e-18,9.01638392748e-12,5.03895772956e-11,1.76447003512e-32,0.0,0.689,0.0,2.8145223464e-30,0.0,0.821845295413,0.0,5.46392310433,0.0,1.28104245742,2.265e-23,0.0,0.0100479268724,2.014e-26,0.0,2.014e-26,1.87564758261e-07,1.33906752735e-06,2.27829928675e-06,9.42824127124e-07,2.14942463482e-06,1.08272451149e-06,3.55115912093e-07,2.03707061345e-07,1.03938170463e-06,0.90789015551,0.942392594303
9,96839.0,96839.0,6.1,4.4,6.3,16.6,20.7,22.4,700.0,70.0,700.0,125.09,450.0,1500.0,2500.0,4.0,5.0,4.0,15.0,19.0,19.0, atlas_conf_2013_049 - SR_mT2_110_mumu,0.122,1.258,4.154,0.177,1.564,4.589,0.0,0.832032793032,0.0111905593883,0.531963723597,-0.0632558756891,0.143560069895,-0.0805235138294,-0.439382347728,-0.0384122992626,0.622425210175,0.460931772618,0.446220091682,-0.0942476141729,0.315115748206,-0.0722358492236,-0.568139686388,0.53949111011,0.522272030082,96839.0,96839.0,0.0696572048747,0.516296084354,0.853572625551,0.940994814247,0.285305822311,0.182014689836,0.314571742468,0.816702757482,0.483778073875,2.51789142697e-06,2.2,2.0,2.4,2.3,3.2,3.3,0.029,0.092,0.168,0.0,0.0,0.0,0.029,0.092,0.168,0.035,0.103,0.177,0.0,0.0,0.0,0.035,0.103,0.177,96839.0,0.01,0.001,0.0,1.01236953014e-12,8.58673205073e-12,5.07386725833e-11,2.50999872682e-32,0.0,0.67292,0.0,3.94889702247e-30,0.0,5.0868251819,0.0,0.950238973914,0.0,0.0527624798379,3.483e-23,0.0,0.0100479268724,2.937e-26,0.0,2.937e-26,2.05476691415e-07,1.52298403869e-06,2.51789142697e-06,7.22668756122e-07,2.19110244395e-07,1.39784329848e-07,8.05362046354e-07,2.0909106421e-06,1.23856166005e-06,0.900353132606,0.937027313766
